callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-H-intLenMax100;NC_003197;NC_003197;22172;21176;21056;21080;22332;24260;20800;21984;21364;22124;21728;21044;21316;24468;22060
X-H-intLenMax100;NC_000913;NC_000913;22272;21168;21084;21120;22228;24320;20748;22012;21268;21680;21656;20996;21332;24376;22004
X-H-intLenMax20;NC_000913;NC_000913;17808;17392;17324;17384;17784;17684;17404;17740;17032;17552;17052;17020;17036;17552;17520
X-H-intLenMax20;NC_003197;NC_003197;17572;17096;17056;17164;17536;18924;17028;17572;21072;17608;17048;17064;17072;17624;17880
X-H-intLenMax30;NC_000913;NC_000913;18008;17580;17624;17616;17976;17972;17416;17976;17476;17928;17440;17448;17432;18020;18076
X-H-intLenMax30;NC_003197;NC_003197;18092;17680;17588;17476;18000;18012;17716;18124;17656;17936;17472;17492;17572;18092;17416
X-H-intLenMax40;NC_000913;NC_000913;18500;17968;17928;17952;18460;19736;17900;18440;17944;18428;18000;17936;17980;20520;18408
X-H-intLenMax40;NC_003197;NC_003197;18532;17984;17944;17952;18488;18560;17920;18424;17956;18452;18040;17956;21988;18532;22000
X-H-intLenMax50;NC_003197;NC_003197;19040;18528;18480;18528;19060;20304;18404;19004;18548;19004;18568;18476;18588;20312;18544
X-H-intLenMax50;NC_000913;NC_000913;18544;18544;18484;18540;18996;20384;18400;19012;18524;19004;18536;18428;18540;19084;18992
X-H-intLenMax60;NC_000913;NC_000913;19656;19104;19028;19072;19704;21080;18840;19188;19084;19196;19216;19000;19140;21008;19632
X-H-intLenMax60;NC_003197;NC_003197;23272;19060;19068;19080;19704;20996;18932;19656;19112;19640;19228;18992;19132;21008;19248
X-H-intLenMax70;NC_000913;NC_000913;20304;19636;19548;19608;20360;21740;19428;20264;19632;20240;19864;19524;19692;21752;20184
X-H-intLenMax70;NC_003197;NC_003197;23956;19616;19636;19568;20372;21744;19456;20248;19664;20248;19920;19568;19724;21768;20268
X-H-intLenMax80;NC_000913;NC_000913;20948;20148;19992;20224;23020;22540;23968;20800;20216;20840;20484;20048;20304;22540;20788
X-H-intLenMax80;NC_003197;NC_003197;20964;20188;20076;24128;21044;22608;19956;20736;20212;20884;20548;20116;20224;22660;20800
default;NC_003197;NC_003197;59260;46868;47424;48180;60436;87564;44352;55868;50744;57024;54664;46160;49452;104188;56636
default;NC_000913;NC_000913;60084;47816;47844;49440;60436;87520;43952;56192;50712;56212;54664;46132;49796;96192;56212
